Sample_ID,d18Op
ST2012-087,24.06
ST2012-088,23.92
ST2012-094,23.12
ST2012-102,23.86
ST2012-106,23.84
ST2012-110,24.17
ST2012-124,23.44
ST2012-127,23.54
ST2012-132,23.77
ST2012-134,23.11
ST2012-135,24.11
ST2012-136,23.72
ST2012-137,23.26
ST2012-139,24.01
ST2012-147,23.71
ST2012-148,24.32
ST2012-157,22.45
ST2012-158,24.06
ST2012-160,23.98
ST2012-161,23.99
ST2012-165,23.67
ST2012-172,24.73
ST2012-175,23.62
ST2012-178,24.56
ST2012-180,23.81
ST2012-187,24.42
ST2012-192,24.8
ST2012-202,24.51
ST2012-213,22.13
ST2012-215,24.55
ST2012-222,24.07